--- HEAP SORT START ---
Initial:
| Position | Value | Explanation |
| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 1 | Root level. |
| 1 | 2, 10 | Children of previous level. Missing children shown as [ ]. |
| 2 | 11, 5, 4, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 7, 6, 12, 13 | Children of previous level. Missing children shown as [ ]. |

Compare 11 with 8
Compare 8 with 7
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 1      | Swap 3 <-> 8 |
| 1       | 2      | Swap 3 <-> 8 |
| 2       | 10     | Swap 3 <-> 8 |
| 3       | 7      | Swap 3 <-> 8 |
| 4       | 5      | Swap 3 <-> 8 |
| 5       | 4      | Swap 3 <-> 8 |
| 6       | 9      | Swap 3 <-> 8 |
| 7       | 8      | Swap 3 <-> 8 |
| 8       | 11     | Swap 3 <-> 8 |
| 9       | 6      | Swap 3 <-> 8 |
| 10      | 12     | Swap 3 <-> 8 |
| 11      | 13     | Swap 3 <-> 8 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 1 | Root level. |
| 1 | 2, 10 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 5, 4, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 6, 12, 13 | Children of previous level. Missing children shown as [ ]. |

Compare 10 with 4
Compare 4 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 1      | Swap 2 <-> 5 |
| 1       | 2      | Swap 2 <-> 5 |
| 2       | 4      | Swap 2 <-> 5 |
| 3       | 7      | Swap 2 <-> 5 |
| 4       | 5      | Swap 2 <-> 5 |
| 5       | 10     | Swap 2 <-> 5 |
| 6       | 9      | Swap 2 <-> 5 |
| 7       | 8      | Swap 2 <-> 5 |
| 8       | 11     | Swap 2 <-> 5 |
| 9       | 6      | Swap 2 <-> 5 |
| 10      | 12     | Swap 2 <-> 5 |
| 11      | 13     | Swap 2 <-> 5 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 1 | Root level. |
| 1 | 2, 4 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 5, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 6, 12, 13 | Children of previous level. Missing children shown as [ ]. |

Compare 10 with 13
Compare 2 with 7
Compare 2 with 5
Compare 1 with 2
Compare 1 with 4
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 13     | Extract root to position 11 |
| 1       | 2      | Extract root to position 11 |
| 2       | 4      | Extract root to position 11 |
| 3       | 7      | Extract root to position 11 |
| 4       | 5      | Extract root to position 11 |
| 5       | 10     | Extract root to position 11 |
| 6       | 9      | Extract root to position 11 |
| 7       | 8      | Extract root to position 11 |
| 8       | 11     | Extract root to position 11 |
| 9       | 6      | Extract root to position 11 |
| 10      | 12     | Extract root to position 11 |
| 11      | 1      | Extract root to position 11 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 13 | Root level. |
| 1 | 2, 4 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 5, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 6, 12, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 2
Compare 2 with 4
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 2      | Swap 0 <-> 1 |
| 1       | 13     | Swap 0 <-> 1 |
| 2       | 4      | Swap 0 <-> 1 |
| 3       | 7      | Swap 0 <-> 1 |
| 4       | 5      | Swap 0 <-> 1 |
| 5       | 10     | Swap 0 <-> 1 |
| 6       | 9      | Swap 0 <-> 1 |
| 7       | 8      | Swap 0 <-> 1 |
| 8       | 11     | Swap 0 <-> 1 |
| 9       | 6      | Swap 0 <-> 1 |
| 10      | 12     | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 2 | Root level. |
| 1 | 13, 4 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 5, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 6, 12, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 7
Compare 7 with 5
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 2      | Swap 1 <-> 4 |
| 1       | 5      | Swap 1 <-> 4 |
| 2       | 4      | Swap 1 <-> 4 |
| 3       | 7      | Swap 1 <-> 4 |
| 4       | 13     | Swap 1 <-> 4 |
| 5       | 10     | Swap 1 <-> 4 |
| 6       | 9      | Swap 1 <-> 4 |
| 7       | 8      | Swap 1 <-> 4 |
| 8       | 11     | Swap 1 <-> 4 |
| 9       | 6      | Swap 1 <-> 4 |
| 10      | 12     | Swap 1 <-> 4 |
| 11      | 1      | Swap 1 <-> 4 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 2 | Root level. |
| 1 | 5, 4 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 13, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 6, 12, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 6
Compare 6 with 12
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 2      | Swap 4 <-> 9 |
| 1       | 5      | Swap 4 <-> 9 |
| 2       | 4      | Swap 4 <-> 9 |
| 3       | 7      | Swap 4 <-> 9 |
| 4       | 6      | Swap 4 <-> 9 |
| 5       | 10     | Swap 4 <-> 9 |
| 6       | 9      | Swap 4 <-> 9 |
| 7       | 8      | Swap 4 <-> 9 |
| 8       | 11     | Swap 4 <-> 9 |
| 9       | 13     | Swap 4 <-> 9 |
| 10      | 12     | Swap 4 <-> 9 |
| 11      | 1      | Swap 4 <-> 9 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 2 | Root level. |
| 1 | 5, 4 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 6, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 13, 12, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 12     | Extract root to position 10 |
| 1       | 5      | Extract root to position 10 |
| 2       | 4      | Extract root to position 10 |
| 3       | 7      | Extract root to position 10 |
| 4       | 6      | Extract root to position 10 |
| 5       | 10     | Extract root to position 10 |
| 6       | 9      | Extract root to position 10 |
| 7       | 8      | Extract root to position 10 |
| 8       | 11     | Extract root to position 10 |
| 9       | 13     | Extract root to position 10 |
| 10      | 2      | Extract root to position 10 |
| 11      | 1      | Extract root to position 10 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 12 | Root level. |
| 1 | 5, 4 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 6, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 13, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 12 with 5
Compare 5 with 4
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 4      | Swap 0 <-> 2 |
| 1       | 5      | Swap 0 <-> 2 |
| 2       | 12     | Swap 0 <-> 2 |
| 3       | 7      | Swap 0 <-> 2 |
| 4       | 6      | Swap 0 <-> 2 |
| 5       | 10     | Swap 0 <-> 2 |
| 6       | 9      | Swap 0 <-> 2 |
| 7       | 8      | Swap 0 <-> 2 |
| 8       | 11     | Swap 0 <-> 2 |
| 9       | 13     | Swap 0 <-> 2 |
| 10      | 2      | Swap 0 <-> 2 |
| 11      | 1      | Swap 0 <-> 2 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 4 | Root level. |
| 1 | 5, 12 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 6, 10, 9 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 13, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 12 with 10
Compare 10 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 4      | Swap 2 <-> 6 |
| 1       | 5      | Swap 2 <-> 6 |
| 2       | 9      | Swap 2 <-> 6 |
| 3       | 7      | Swap 2 <-> 6 |
| 4       | 6      | Swap 2 <-> 6 |
| 5       | 10     | Swap 2 <-> 6 |
| 6       | 12     | Swap 2 <-> 6 |
| 7       | 8      | Swap 2 <-> 6 |
| 8       | 11     | Swap 2 <-> 6 |
| 9       | 13     | Swap 2 <-> 6 |
| 10      | 2      | Swap 2 <-> 6 |
| 11      | 1      | Swap 2 <-> 6 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 4 | Root level. |
| 1 | 5, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 6, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 13, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 13     | Extract root to position 9 |
| 1       | 5      | Extract root to position 9 |
| 2       | 9      | Extract root to position 9 |
| 3       | 7      | Extract root to position 9 |
| 4       | 6      | Extract root to position 9 |
| 5       | 10     | Extract root to position 9 |
| 6       | 12     | Extract root to position 9 |
| 7       | 8      | Extract root to position 9 |
| 8       | 11     | Extract root to position 9 |
| 9       | 4      | Extract root to position 9 |
| 10      | 2      | Extract root to position 9 |
| 11      | 1      | Extract root to position 9 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 13 | Root level. |
| 1 | 5, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 6, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 5
Compare 5 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 5      | Swap 0 <-> 1 |
| 1       | 13     | Swap 0 <-> 1 |
| 2       | 9      | Swap 0 <-> 1 |
| 3       | 7      | Swap 0 <-> 1 |
| 4       | 6      | Swap 0 <-> 1 |
| 5       | 10     | Swap 0 <-> 1 |
| 6       | 12     | Swap 0 <-> 1 |
| 7       | 8      | Swap 0 <-> 1 |
| 8       | 11     | Swap 0 <-> 1 |
| 9       | 4      | Swap 0 <-> 1 |
| 10      | 2      | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 5 | Root level. |
| 1 | 13, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 6, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 7
Compare 7 with 6
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 5      | Swap 1 <-> 4 |
| 1       | 6      | Swap 1 <-> 4 |
| 2       | 9      | Swap 1 <-> 4 |
| 3       | 7      | Swap 1 <-> 4 |
| 4       | 13     | Swap 1 <-> 4 |
| 5       | 10     | Swap 1 <-> 4 |
| 6       | 12     | Swap 1 <-> 4 |
| 7       | 8      | Swap 1 <-> 4 |
| 8       | 11     | Swap 1 <-> 4 |
| 9       | 4      | Swap 1 <-> 4 |
| 10      | 2      | Swap 1 <-> 4 |
| 11      | 1      | Swap 1 <-> 4 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 5 | Root level. |
| 1 | 6, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 11, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 11     | Extract root to position 8 |
| 1       | 6      | Extract root to position 8 |
| 2       | 9      | Extract root to position 8 |
| 3       | 7      | Extract root to position 8 |
| 4       | 13     | Extract root to position 8 |
| 5       | 10     | Extract root to position 8 |
| 6       | 12     | Extract root to position 8 |
| 7       | 8      | Extract root to position 8 |
| 8       | 5      | Extract root to position 8 |
| 9       | 4      | Extract root to position 8 |
| 10      | 2      | Extract root to position 8 |
| 11      | 1      | Extract root to position 8 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 11 | Root level. |
| 1 | 6, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 11 with 6
Compare 6 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 6      | Swap 0 <-> 1 |
| 1       | 11     | Swap 0 <-> 1 |
| 2       | 9      | Swap 0 <-> 1 |
| 3       | 7      | Swap 0 <-> 1 |
| 4       | 13     | Swap 0 <-> 1 |
| 5       | 10     | Swap 0 <-> 1 |
| 6       | 12     | Swap 0 <-> 1 |
| 7       | 8      | Swap 0 <-> 1 |
| 8       | 5      | Swap 0 <-> 1 |
| 9       | 4      | Swap 0 <-> 1 |
| 10      | 2      | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 6 | Root level. |
| 1 | 11, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 7, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 11 with 7
Compare 7 with 13
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 6      | Swap 1 <-> 3 |
| 1       | 7      | Swap 1 <-> 3 |
| 2       | 9      | Swap 1 <-> 3 |
| 3       | 11     | Swap 1 <-> 3 |
| 4       | 13     | Swap 1 <-> 3 |
| 5       | 10     | Swap 1 <-> 3 |
| 6       | 12     | Swap 1 <-> 3 |
| 7       | 8      | Swap 1 <-> 3 |
| 8       | 5      | Swap 1 <-> 3 |
| 9       | 4      | Swap 1 <-> 3 |
| 10      | 2      | Swap 1 <-> 3 |
| 11      | 1      | Swap 1 <-> 3 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 6 | Root level. |
| 1 | 7, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 11, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 8, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 11 with 8
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 6      | Swap 3 <-> 7 |
| 1       | 7      | Swap 3 <-> 7 |
| 2       | 9      | Swap 3 <-> 7 |
| 3       | 8      | Swap 3 <-> 7 |
| 4       | 13     | Swap 3 <-> 7 |
| 5       | 10     | Swap 3 <-> 7 |
| 6       | 12     | Swap 3 <-> 7 |
| 7       | 11     | Swap 3 <-> 7 |
| 8       | 5      | Swap 3 <-> 7 |
| 9       | 4      | Swap 3 <-> 7 |
| 10      | 2      | Swap 3 <-> 7 |
| 11      | 1      | Swap 3 <-> 7 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 6 | Root level. |
| 1 | 7, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 8, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 11, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 11     | Extract root to position 7 |
| 1       | 7      | Extract root to position 7 |
| 2       | 9      | Extract root to position 7 |
| 3       | 8      | Extract root to position 7 |
| 4       | 13     | Extract root to position 7 |
| 5       | 10     | Extract root to position 7 |
| 6       | 12     | Extract root to position 7 |
| 7       | 6      | Extract root to position 7 |
| 8       | 5      | Extract root to position 7 |
| 9       | 4      | Extract root to position 7 |
| 10      | 2      | Extract root to position 7 |
| 11      | 1      | Extract root to position 7 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 11 | Root level. |
| 1 | 7, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 8, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 11 with 7
Compare 7 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 7      | Swap 0 <-> 1 |
| 1       | 11     | Swap 0 <-> 1 |
| 2       | 9      | Swap 0 <-> 1 |
| 3       | 8      | Swap 0 <-> 1 |
| 4       | 13     | Swap 0 <-> 1 |
| 5       | 10     | Swap 0 <-> 1 |
| 6       | 12     | Swap 0 <-> 1 |
| 7       | 6      | Swap 0 <-> 1 |
| 8       | 5      | Swap 0 <-> 1 |
| 9       | 4      | Swap 0 <-> 1 |
| 10      | 2      | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 7 | Root level. |
| 1 | 11, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 8, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 11 with 8
Compare 8 with 13
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 7      | Swap 1 <-> 3 |
| 1       | 8      | Swap 1 <-> 3 |
| 2       | 9      | Swap 1 <-> 3 |
| 3       | 11     | Swap 1 <-> 3 |
| 4       | 13     | Swap 1 <-> 3 |
| 5       | 10     | Swap 1 <-> 3 |
| 6       | 12     | Swap 1 <-> 3 |
| 7       | 6      | Swap 1 <-> 3 |
| 8       | 5      | Swap 1 <-> 3 |
| 9       | 4      | Swap 1 <-> 3 |
| 10      | 2      | Swap 1 <-> 3 |
| 11      | 1      | Swap 1 <-> 3 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 7 | Root level. |
| 1 | 8, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 11, 13, 10, 12 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 12     | Extract root to position 6 |
| 1       | 8      | Extract root to position 6 |
| 2       | 9      | Extract root to position 6 |
| 3       | 11     | Extract root to position 6 |
| 4       | 13     | Extract root to position 6 |
| 5       | 10     | Extract root to position 6 |
| 6       | 7      | Extract root to position 6 |
| 7       | 6      | Extract root to position 6 |
| 8       | 5      | Extract root to position 6 |
| 9       | 4      | Extract root to position 6 |
| 10      | 2      | Extract root to position 6 |
| 11      | 1      | Extract root to position 6 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 12 | Root level. |
| 1 | 8, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 11, 13, 10, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 12 with 8
Compare 8 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 8      | Swap 0 <-> 1 |
| 1       | 12     | Swap 0 <-> 1 |
| 2       | 9      | Swap 0 <-> 1 |
| 3       | 11     | Swap 0 <-> 1 |
| 4       | 13     | Swap 0 <-> 1 |
| 5       | 10     | Swap 0 <-> 1 |
| 6       | 7      | Swap 0 <-> 1 |
| 7       | 6      | Swap 0 <-> 1 |
| 8       | 5      | Swap 0 <-> 1 |
| 9       | 4      | Swap 0 <-> 1 |
| 10      | 2      | Swap 0 <-> 1 |
| 11      | 1      | Swap 0 <-> 1 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 8 | Root level. |
| 1 | 12, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 11, 13, 10, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 12 with 11
Compare 11 with 13
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 8      | Swap 1 <-> 3 |
| 1       | 11     | Swap 1 <-> 3 |
| 2       | 9      | Swap 1 <-> 3 |
| 3       | 12     | Swap 1 <-> 3 |
| 4       | 13     | Swap 1 <-> 3 |
| 5       | 10     | Swap 1 <-> 3 |
| 6       | 7      | Swap 1 <-> 3 |
| 7       | 6      | Swap 1 <-> 3 |
| 8       | 5      | Swap 1 <-> 3 |
| 9       | 4      | Swap 1 <-> 3 |
| 10      | 2      | Swap 1 <-> 3 |
| 11      | 1      | Swap 1 <-> 3 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 8 | Root level. |
| 1 | 11, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 12, 13, 10, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 10     | Extract root to position 5 |
| 1       | 11     | Extract root to position 5 |
| 2       | 9      | Extract root to position 5 |
| 3       | 12     | Extract root to position 5 |
| 4       | 13     | Extract root to position 5 |
| 5       | 8      | Extract root to position 5 |
| 6       | 7      | Extract root to position 5 |
| 7       | 6      | Extract root to position 5 |
| 8       | 5      | Extract root to position 5 |
| 9       | 4      | Extract root to position 5 |
| 10      | 2      | Extract root to position 5 |
| 11      | 1      | Extract root to position 5 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 10 | Root level. |
| 1 | 11, 9 | Children of previous level. Missing children shown as [ ]. |
| 2 | 12, 13, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 10 with 11
Compare 10 with 9
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 9      | Swap 0 <-> 2 |
| 1       | 11     | Swap 0 <-> 2 |
| 2       | 10     | Swap 0 <-> 2 |
| 3       | 12     | Swap 0 <-> 2 |
| 4       | 13     | Swap 0 <-> 2 |
| 5       | 8      | Swap 0 <-> 2 |
| 6       | 7      | Swap 0 <-> 2 |
| 7       | 6      | Swap 0 <-> 2 |
| 8       | 5      | Swap 0 <-> 2 |
| 9       | 4      | Swap 0 <-> 2 |
| 10      | 2      | Swap 0 <-> 2 |
| 11      | 1      | Swap 0 <-> 2 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 9 | Root level. |
| 1 | 11, 10 | Children of previous level. Missing children shown as [ ]. |
| 2 | 12, 13, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 13     | Extract root to position 4 |
| 1       | 11     | Extract root to position 4 |
| 2       | 10     | Extract root to position 4 |
| 3       | 12     | Extract root to position 4 |
| 4       | 9      | Extract root to position 4 |
| 5       | 8      | Extract root to position 4 |
| 6       | 7      | Extract root to position 4 |
| 7       | 6      | Extract root to position 4 |
| 8       | 5      | Extract root to position 4 |
| 9       | 4      | Extract root to position 4 |
| 10      | 2      | Extract root to position 4 |
| 11      | 1      | Extract root to position 4 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 13 | Root level. |
| 1 | 11, 10 | Children of previous level. Missing children shown as [ ]. |
| 2 | 12, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

Compare 13 with 11
Compare 11 with 10
| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 10     | Swap 0 <-> 2 |
| 1       | 11     | Swap 0 <-> 2 |
| 2       | 13     | Swap 0 <-> 2 |
| 3       | 12     | Swap 0 <-> 2 |
| 4       | 9      | Swap 0 <-> 2 |
| 5       | 8      | Swap 0 <-> 2 |
| 6       | 7      | Swap 0 <-> 2 |
| 7       | 6      | Swap 0 <-> 2 |
| 8       | 5      | Swap 0 <-> 2 |
| 9       | 4      | Swap 0 <-> 2 |
| 10      | 2      | Swap 0 <-> 2 |
| 11      | 1      | Swap 0 <-> 2 |

### Tree Structure (Markdown Table)

| Level | Nodes | Explanation |
|-------|--------|-------------|
| 0 | 10 | Root level. |
| 1 | 11, 13 | Children of previous level. Missing children shown as [ ]. |
| 2 | 12, 9, 8, 7 | Children of previous level. Missing children shown as [ ]. |
| 3 | 6, 5, 4, 2, 1 | Children of previous level. Missing children shown as [ ]. |

| Position | Value | Explanation |
|---------|--------|-------------|
| 0       | 12     | Extract root to position 3 |
| 1       | 11     | Extract root to position 3 |
| 2       | 13     | Extract root to position 3 |
| 3       | 10     | Extract root to position 3 |
| 4       | 9      | Extract root to position 3 |
| 5       | 8      | Extract root to position 3 |
| 6       | 7      | Extract root to position 3 |
| 7       | 6      | Extract root to position 3 |
| 8       | 5      | Extract root to position 3 |
| 9       | 4      | Extract root to position 3 |
| 10      | 2      | Extract root to position 3 |
| 11      | 1      | Extract root to position 3 |

### Tree Structure (Markdown Table)

